inventory_id,warehouse_id,item_id,quantity,inventory_date
1,3,25,7,2022-03-28
2,1,60,2,2017-04-23
3,1,26,1,2021-05-19
4,2,72,20,2007-05-16
5,3,53,13,2019-02-02
6,2,74,2,2019-07-04
7,4,40,12,2022-03-08
8,1,75,10,2019-03-22
9,1,40,17,2021-12-13
10,1,28,18,2021-08-17
11,4,3,12,2021-08-09
12,4,49,5,2009-09-23
13,4,28,12,2022-05-08
14,3,60,3,2015-09-20
15,3,10,3,2022-03-12
16,3,73,5,2015-05-31
17,3,69,15,2005-12-28
18,1,40,20,2021-08-03
19,2,7,14,2022-07-26
20,2,45,8,2021-12-19
21,3,68,17,2020-01-03
22,1,70,17,2009-09-17
23,1,72,5,2010-06-09
24,3,4,2,2021-08-02
25,4,17,2,2022-01-20
26,4,28,10,2022-09-27
27,4,46,15,2021-12-09
28,3,22,16,2022-05-24
29,3,57,12,2003-10-30
30,4,61,14,2003-10-26
31,4,43,2,2022-01-15
32,2,51,12,2020-05-24
33,3,43,13,2021-09-23
34,2,69,6,2009-07-29
35,1,43,20,2022-03-26
36,2,5,18,2021-11-25
37,3,47,16,2003-03-27
38,3,34,15,2021-06-24
39,1,37,10,2022-07-17
40,2,24,19,2022-04-29
41,4,71,8,2014-04-13
42,4,62,18,2005-08-20
43,3,59,10,2007-11-30
44,4,47,18,2000-08-03
45,2,68,8,2000-03-25
46,2,44,12,2021-12-02
47,2,13,2,2021-11-22
48,4,34,16,2022-01-11
49,3,15,7,2022-01-04
50,2,24,5,2022-08-17
51,3,44,17,2022-07-23
52,4,47,10,2020-09-09
53,1,43,7,2022-02-08
54,3,18,18,2022-09-26
55,3,7,20,2022-09-19
56,2,8,13,2022-03-03
57,4,11,17,2022-08-09
58,4,27,12,2022-01-30
59,1,51,5,2008-05-10
60,4,49,1,2009-02-19
61,1,6,11,2021-09-22
62,4,11,12,2022-04-16
63,3,40,13,2021-05-29
64,2,41,10,2022-02-12
65,4,57,3,2014-10-03
66,4,27,3,2022-04-02
67,2,9,7,2021-07-11
68,1,4,16,2022-05-18
69,3,53,18,2013-04-23
70,4,38,17,2022-05-31
71,1,38,16,2022-05-03
72,1,49,19,2017-03-01
73,2,3,3,2022-03-18
74,3,30,2,2022-01-07
75,1,35,19,2022-06-26
76,1,32,12,2021-11-26
77,1,14,1,2022-02-24
78,2,44,18,2022-05-14
79,4,59,19,2011-09-22
80,2,30,12,2022-07-29
81,2,59,9,2006-01-20
82,3,19,5,2021-12-12
83,2,47,13,2011-04-17
84,3,16,15,2021-11-16
85,4,36,7,2022-05-14
86,4,34,4,2021-07-08
87,4,23,12,2022-05-08
88,3,7,17,2022-06-08
89,2,67,2,2003-11-28
90,3,46,14,2021-09-23
91,4,26,11,2021-12-22
92,3,72,13,2007-04-18
93,3,72,2,2014-06-19
94,1,19,20,2022-03-05
95,1,57,15,2017-11-10
96,3,50,4,2018-11-27
97,2,47,13,2014-01-12
98,3,6,18,2022-07-21
99,4,70,1,2022-02-13
100,1,32,9,2021-12-29
101,4,37,14,2021-11-04
102,3,74,20,2001-01-16
103,1,59,20,2002-02-04
104,4,41,4,2022-02-02
105,2,16,16,2022-02-22
106,1,29,18,2022-01-15
107,2,54,13,2013-09-09
108,1,76,13,2004-07-25
109,3,6,19,2022-02-27
110,2,4,9,2022-07-17
111,3,56,10,2005-05-29
112,1,41,16,2021-10-15
113,2,31,8,2022-08-10
114,3,32,3,2022-07-05
115,3,36,20,2021-09-09
116,1,76,18,2018-09-20
117,1,57,8,2019-01-22
118,4,72,16,2007-08-14
119,3,65,9,2012-05-08
120,1,7,12,2022-08-14
121,2,4,19,2022-06-20
122,4,25,1,2022-04-22
123,3,2,3,2021-09-16
124,3,39,20,2021-10-01
125,2,48,19,2006-11-17
126,3,7,12,2021-07-14
127,2,70,17,2005-06-24
128,4,21,12,2022-01-15
129,3,47,2,2002-07-21
130,4,51,3,2015-03-31
131,4,57,2,2004-04-23
132,4,25,18,2022-06-17
133,2,62,19,2003-10-21
134,4,17,2,2022-04-02
135,4,28,20,2021-10-20
136,1,22,18,2021-06-26
137,3,42,6,2021-09-20
138,2,13,6,2022-05-21
139,3,71,10,2006-03-01
140,2,40,1,2021-06-25
141,3,19,17,2021-12-31
142,4,58,7,2016-11-09
143,4,30,4,2022-08-21
144,2,32,5,2021-10-14
145,3,60,13,2001-02-14
146,4,15,19,2021-12-06
147,3,44,4,2021-11-25
148,3,23,4,2022-07-22
149,1,71,11,2013-12-06
150,4,74,18,2014-02-20
151,3,69,18,2008-11-08
152,2,70,14,2015-06-27
153,4,14,15,2022-03-12
154,4,22,8,2022-04-09
155,3,35,12,2021-08-05
156,2,61,2,2021-09-10
157,3,61,19,2014-12-04
158,2,71,11,2009-08-05
159,3,6,2,2022-02-23
160,4,20,3,2022-08-24
161,3,46,18,2022-05-11
162,3,14,20,2021-12-09
163,4,23,5,2022-06-22
164,4,75,14,2008-04-12
165,3,4,15,2021-07-16
166,3,56,13,2005-05-02
167,1,71,20,2000-08-15
168,1,74,1,2003-09-16
169,2,71,18,2021-01-01
170,2,68,3,2016-05-19
171,3,72,4,2021-01-24
172,1,76,16,2007-10-28
173,4,23,9,2022-05-13
174,4,63,2,2008-09-11
175,1,45,10,2021-06-27
176,3,63,11,2015-09-05
177,2,19,8,2022-06-14
178,2,53,15,2013-02-06
179,2,23,8,2021-09-06
180,1,18,18,2021-07-31
181,2,25,8,2021-08-30
182,1,29,8,2022-02-18
183,1,8,17,2022-03-04
184,1,48,14,2005-11-30
185,4,75,2,2002-06-17
186,4,67,6,2000-01-28
187,2,16,4,2022-09-18
188,2,48,20,2018-12-14
189,2,48,12,2003-02-18
190,2,18,19,2022-05-04
191,4,73,10,2006-01-03
192,2,49,10,2011-09-09
193,1,76,4,2000-12-09
194,2,13,5,2021-06-05
195,4,2,17,2021-07-17
196,4,15,17,2022-05-12
197,1,70,5,2001-10-26
198,2,5,19,2022-01-28
199,1,68,4,2005-10-29
200,3,55,7,2009-10-25
201,1,2,8,2021-06-09
202,2,13,15,2022-03-01
203,3,28,17,2022-08-06
204,3,53,4,2009-01-10
205,3,23,18,2021-12-10
206,1,38,16,2021-08-18
207,4,21,18,2021-12-24
208,2,19,7,2021-12-19
209,1,4,11,2021-08-20
210,2,48,10,2011-08-03
211,3,11,4,2021-08-04
212,3,49,5,2016-09-27
213,1,20,19,2021-05-22
214,4,23,17,2022-02-27
215,1,4,7,2022-05-11
216,2,59,3,2003-01-09
217,3,57,18,2008-09-07
218,3,23,16,2022-09-11
219,3,12,14,2022-06-25
220,4,39,11,2021-09-10
221,4,32,5,2021-11-25
222,3,26,7,2021-08-18
223,2,37,13,2021-11-17
224,4,70,3,2006-10-05
225,4,17,16,2021-06-24
226,1,9,10,2022-06-14
227,4,32,19,2021-06-23
228,2,39,14,2022-02-15
229,3,36,16,2022-07-28
230,3,1,12,2022-03-08
231,3,41,9,2021-12-08
232,2,6,11,2021-10-03
233,3,67,6,2013-06-30
234,2,62,9,2017-11-21
235,2,57,3,2011-04-11
236,2,75,3,2009-10-19
237,4,28,7,2022-01-08
238,4,72,20,2018-09-18
239,1,76,4,2018-06-01
240,4,6,12,2021-10-27
241,2,73,10,2007-06-18
242,3,74,4,2007-08-24
243,3,29,12,2021-07-01
244,2,75,1,2011-04-28
245,1,62,9,2013-10-25
246,4,76,12,2017-09-23
247,2,2,12,2022-07-21
248,2,59,15,2018-12-10
249,1,20,3,2022-08-07
250,2,74,11,2011-04-28
251,2,39,19,2022-02-01
252,1,59,5,2010-06-15
253,4,45,13,2021-12-25
254,2,13,19,2022-07-17
255,3,59,2,2018-08-27
256,3,57,13,2013-10-19
257,4,22,5,2021-08-12
258,1,48,17,2015-05-03
259,2,55,11,2018-11-08
260,4,34,10,2021-09-10
261,4,72,9,2013-10-26
262,4,6,5,2021-06-02
263,4,5,18,2022-01-25
264,4,12,1,2022-04-19
265,1,47,3,2010-02-14
266,4,31,6,2022-06-17
267,2,34,13,2022-07-23
268,2,15,16,2021-11-23
269,1,64,2,2018-01-04
270,1,21,7,2022-03-19
271,3,29,3,2021-07-05
272,3,58,11,2014-11-17
273,2,59,2,2019-04-29
274,1,1,3,2022-06-29
275,2,33,20,2021-07-07
276,4,4,15,2022-01-01
277,4,67,13,2008-12-04
278,1,17,13,2022-07-01
279,4,43,15,2021-08-21
280,3,52,17,2003-01-22
281,3,15,5,2022-09-29
282,2,42,10,2021-09-28
283,2,43,10,2022-02-05
284,2,13,16,2022-02-24
285,4,23,12,2021-05-30
286,2,22,11,2022-06-05
287,3,43,9,2022-02-06
288,2,67,2,2020-09-29
289,1,19,6,2021-09-12
290,3,9,3,2022-08-30
291,1,76,2,2006-10-09
292,3,28,6,2021-10-20
293,1,40,17,2022-02-24
294,4,40,17,2021-11-01
295,4,50,17,2021-08-20
296,4,11,8,2021-12-17
297,3,31,6,2021-06-04
298,2,43,19,2021-10-03
299,2,66,20,2014-08-04
300,3,1,2,2021-08-16
301,2,76,5,2017-01-27
302,2,12,7,2022-04-30
303,3,22,4,2022-01-25
304,1,4,8,2022-03-13
305,3,56,19,2005-03-01
306,1,37,1,2022-04-29
307,1,67,14,2004-11-20
308,1,66,13,2000-03-17
309,2,7,20,2021-09-25
310,1,51,14,2019-11-14
311,3,21,16,2021-08-01
312,2,59,11,2011-10-06
313,2,6,9,2021-11-02
314,4,68,13,2006-10-28
315,1,72,10,2001-11-11
316,2,52,18,2016-07-14
317,2,41,13,2022-09-19
318,1,32,3,2021-12-06
319,2,9,1,2022-08-19
320,1,56,11,2014-11-30
321,2,52,2,2013-05-13
322,1,69,17,2002-04-28
323,4,49,11,2013-09-12
324,4,19,14,2021-11-19
325,1,75,1,2018-11-05
326,3,3,12,2021-09-18
327,3,19,11,2022-03-16
328,1,55,5,2004-10-23
329,1,75,20,2011-09-29
330,3,38,7,2021-12-20
331,2,42,1,2022-09-10
332,1,62,12,2013-11-12
333,1,39,17,2021-09-13
334,2,12,8,2022-05-16
335,2,37,10,2021-09-11
336,3,53,20,2021-04-14
337,1,13,2,2021-09-14
338,4,68,8,2009-01-16
339,1,69,14,2016-10-01
340,4,69,8,2004-02-09
341,4,72,11,2013-07-02
342,2,34,12,2022-06-28
343,2,64,11,2013-03-22
344,1,61,7,2003-12-13
345,1,57,14,2017-12-09
346,1,14,11,2022-06-20
347,3,71,13,2003-02-26
348,4,22,19,2022-05-22
349,3,13,7,2022-03-09
350,1,49,19,2006-05-24
351,2,40,19,2022-04-06
352,1,30,13,2021-06-22
353,3,75,16,2013-07-20
354,3,35,4,2022-02-19
355,4,60,18,2000-02-29
356,3,3,19,2021-07-02
357,4,10,14,2021-07-31
358,3,67,1,2001-02-11
359,1,48,13,2019-12-13
360,2,39,12,2022-03-06
361,3,11,2,2022-08-31
362,4,18,1,2022-01-04
363,4,5,6,2021-06-24
364,2,2,19,2021-11-12
365,1,50,9,2011-11-04
366,1,51,8,2021-07-19
367,4,67,13,2017-10-23
368,4,7,4,2022-02-07
369,2,37,17,2021-11-29
370,4,1,7,2021-10-29
371,4,72,20,2019-12-19
372,1,33,14,2021-11-19
373,3,54,13,2013-11-09
374,1,20,7,2021-09-06
375,4,68,2,2005-01-09
376,1,17,13,2021-10-06
377,2,45,19,2021-09-21
378,1,59,2,2013-09-16
379,3,57,16,2004-06-03
380,4,21,4,2022-07-30
381,4,34,6,2022-07-04
382,3,67,14,2009-01-02
383,1,61,4,2015-03-09
384,4,11,17,2022-09-19
385,2,27,14,2022-01-19
386,4,51,4,2008-08-12
387,4,52,9,2003-04-13
388,3,29,11,2022-05-06
389,4,64,3,2012-06-16
390,2,26,8,2021-07-28
391,4,27,13,2022-02-26
392,1,56,13,2018-06-23
393,4,44,2,2022-05-07
394,3,50,5,2015-07-27
395,4,76,1,2009-04-12
396,1,63,6,2005-08-13
397,3,71,17,2010-07-19
398,4,32,13,2022-03-15
399,2,18,16,2022-08-28
400,1,71,12,2003-01-22
401,4,30,20,2022-06-17
402,1,19,18,2022-04-19
403,2,36,3,2022-02-02
404,2,54,20,2005-03-22
405,2,16,14,2022-03-31
406,3,54,10,2000-04-28
407,4,31,15,2021-09-05
408,3,70,18,2004-12-19
409,3,24,1,2022-01-27
410,2,11,3,2022-08-11
411,1,46,18,2021-11-11
412,3,32,14,2022-05-14
413,3,16,3,2022-07-25
414,2,7,19,2021-07-07
415,3,14,16,2022-01-19
416,2,55,5,2007-07-17
417,4,47,12,2008-01-22
418,3,69,3,2002-01-19
419,2,29,2,2021-06-26
420,3,71,13,2019-03-09
421,2,33,10,2022-08-04
422,4,35,2,2022-07-11
423,1,35,5,2022-09-22
424,3,3,18,2021-05-20
425,4,70,20,2010-10-18
426,1,63,20,2012-07-30
427,2,25,10,2021-06-11
428,3,63,19,2006-08-05
429,3,47,14,2008-02-11
430,3,47,10,2017-06-12
431,3,70,2,2002-02-03
432,1,53,3,2021-11-05
433,1,16,20,2022-02-08
434,3,7,17,2021-12-27
435,2,48,8,2019-10-27
436,3,53,20,2019-08-03
437,3,13,14,2022-05-13
438,4,31,11,2021-12-01
439,2,52,9,2006-07-19
440,1,30,2,2021-07-06
441,1,4,5,2022-09-18
442,1,21,6,2021-11-23
443,1,51,19,2003-09-29
444,4,56,18,2001-12-14
445,1,17,16,2021-10-03
446,2,15,10,2021-10-23
447,1,53,7,2018-12-04
448,3,21,18,2022-02-09
449,4,57,15,2009-05-02
450,3,7,19,2021-12-07
451,3,15,9,2022-02-11
452,3,35,2,2021-06-30
453,4,48,6,2004-01-25
454,2,47,15,2001-01-06
455,1,70,15,2005-09-16
456,2,67,1,2008-08-06
457,1,51,20,2013-10-13
458,1,18,18,2021-11-17
459,3,72,16,2012-11-03
460,4,42,15,2021-10-11
461,4,7,13,2021-06-30
462,4,44,9,2021-08-23
463,4,14,11,2021-10-30
464,3,28,1,2021-12-31
465,3,67,3,2020-05-23
466,1,1,4,2022-07-27
467,3,17,13,2021-12-17
468,1,31,12,2022-08-21
469,1,27,13,2021-07-09
470,2,34,18,2021-09-13
471,1,67,8,2001-11-15
472,2,23,20,2022-01-17
473,3,12,6,2021-09-22
474,2,32,17,2021-12-18
475,2,19,12,2022-03-06
476,2,73,6,2011-08-27
477,4,36,16,2021-12-06
478,1,68,3,2011-03-01
479,4,56,3,2019-02-26
480,3,28,7,2021-08-12
481,2,31,10,2021-10-02
482,3,74,15,2015-09-06
483,4,66,5,2019-07-12
484,2,8,3,2021-10-10
485,3,37,20,2022-03-24
486,1,43,14,2021-11-24
487,1,12,7,2021-09-12
488,2,5,9,2022-08-08
489,1,23,13,2022-07-04
490,1,28,20,2022-02-11
491,1,67,15,2008-07-09
492,4,72,17,2017-05-24
493,4,49,5,2015-11-24
494,3,42,9,2022-08-02
495,1,74,6,2002-09-12
496,4,25,12,2022-09-14
497,1,76,8,2012-06-03
498,2,51,15,2001-01-20
499,1,18,2,2021-07-18
500,4,34,4,2022-06-14
