location_id,city,state,country
1,Jacksonville,FL,USA
2,Tampa,FL,USA
3,Tulsa,OK,USA
4,Erie,PA,USA
5,St Louis,MO,USA
6,Chicago,IL,USA
7,Milwaukee,WI,USA
8,Mexico City,NULL,MEX
9,Denver,CO,USA
10,Everett,MA,USA
11,Golden,CO,USA
12,Meadville,PA,USA
13,Waltham,MA,USA
14,Mineola,NY,USA
15,Blacksburg,VA,USA
16,Leuven,NULL,BEL
17,Dublin,NULL,IRL
18,London,NULL,GBR
19,Zoeterwoude,NULL,NLD
20,Petaluma,CA,USA
21,Kingston,MA,USA
22,Fort Collins,CO,USA
23,Mission,KS,USA
24,Springfield,IL,USA
25,Atlanta,GA,USA
26,Savannah,GA,USA
27,Buffalo,NY,USA
28,Clearwater,FL,USA
29,Fort Lauderdale,FL,USA
30,Los Angeles,CA,USA
31,San Diego,CA,USA
32,Louisville,KY,USA
33,Lubbock,TX,USA
34,Philadelphia,PA,USA
35,Pompano Beach,FL,USA
36,Roanoke,VA,USA
37,Sioux Falls,SD,USA
38,Washington,DC,USA
39,Wilmington,DE,USA